train_loss,train_acc,val_loss,val_acc
0.22222718618823142,0.938551944283227,0.10644232815353792,0.9671428571428572
0.06049014874890645,0.9811375507835172,0.07018986982571236,0.9757142857142858
0.03144479652430771,0.9907138711549622,0.04699417471386947,0.98
0.021171386499190703,0.9934706906558328,0.07540011660326358,0.9771428571428571
0.01676765237477059,0.9952843876958792,0.08377441311892074,0.9757142857142858
0.007962398290697427,0.9978235635519442,0.10701464617206372,0.9771428571428571
0.005166092600348365,0.9986215902495648,0.07303983838120716,0.9814285714285714
0.0033710862305508437,0.9991294254207778,0.06563686554370013,0.9814285714285714
0.0031234588680463127,0.9991294254207778,0.08916814915774941,0.9785714285714285
0.002736693513782161,0.9990568775391758,0.07702668278179979,0.9828571428571429
0.0020096215663646323,0.999492164828787,0.06620550765444994,0.9842857142857143
0.002080123182653754,0.9993470690655832,0.11177002685613244,0.9785714285714285
0.0019684283599022932,0.9992019733023796,0.07732402251130437,0.9857142857142858
0.002398053162763753,0.9992019733023796,0.08802589474061438,0.98
0.008465901547318928,0.9976059199071388,0.08968290644649167,0.9828571428571429
0.0037160445451839596,0.998984329657574,0.09949147080026871,0.9814285714285714
0.0014994099779872595,0.9996372605919908,0.10159409967606982,0.9842857142857143
0.0014116885369325723,0.999492164828787,0.10228070048461549,0.9842857142857143
