train_loss,train_acc,val_loss,val_acc
0.45327143147242044,0.8392338943702844,0.14138262841681187,0.96
0.10852099544089935,0.9696024376088218,0.09105441102292389,0.9742857142857143
0.07500524760392471,0.9806297156123042,0.07638914380434224,0.9785714285714285
0.05019763203147635,0.9871590249564712,0.10288857053489085,0.9728571428571429
0.036736308473320094,0.990351131746953,0.06473367570817407,0.9828571428571429
0.024569860619834242,0.9939785258270458,0.08938749660989163,0.9785714285714285
0.024920925801877027,0.993905977945444,0.14074127774669745,0.9671428571428572
0.029024966005878762,0.9935432385374348,0.057494394362782426,0.9842857142857143
0.027914550485739834,0.9935432385374348,0.08236440777281215,0.98
0.015568225227081348,0.996445153801509,0.07661106899153806,0.9814285714285714
0.01376407990144866,0.9965902495647128,0.06956077407564655,0.9785714285714285
0.007740499653423738,0.9981137550783518,0.08534854558886516,0.9771428571428571
0.006474171393146315,0.9983313987231572,0.09149204496101117,0.98
